dm,gpdm,gpmc,sgdm,zgrq,wsfxrq,ssrq,ssb,fxjg,fxsyl,xype,xype_jt,xype_ttm,fxszj_w,xgfxsl_w,lgzrsl_w,wxpssl_w,wsfxsl_w,hbbl,wxsgsx_w,wsfxsgsx,yjmz_y,mzze_y,mzje_y,ssgsfxfy_w,ssgsfxfl,lgzrfy_w,zrfl,fxfyhj_w,fxfl,cxjbjf_w,sjjyzf_w,flfy_w,xxplf_w,tzzsl,psdxsl,yjsgsl_w,yjrgbs,yxbjpsdxjs,yxbjtzzjs,yxsgpsdxjs,yxsgsl_w,yxsgzj_y,yxsghpbl,wxrgbs,yxsghs,yxsggs_w,zql,wsrgbs,fxfs,cxfs,zcxs,sjjg,zcpgjg,lssws,fxggrq,wxfxqsrq,wxfxjzrq,wsfxdjzj_y,wxpsdjzj_y,cxsrgyg_w,mz,sf,zjhxy_2012,zjhxy,windxy,zqlx,jys
603629.SH,603629,利通电子,732629,2018-12-03,2018-12-12,,主板,,,,24.81142857,19.63428571,2500,2500,0,1500,1000,,400,10000,4.8225,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"网下询价,上网定价",余额包销,国金证券股份有限公司,天健会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,北京安新律师事务所,2018-12-11,2018-12-12,2018-12-12,,,,1,江苏省,金属制品业,制造业-金属、非金属-金属制品业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,上海
603121.SH,603121,华培动力,732121,2018-11-27,2018-12-06,,主板,,,,13.11041667,12.63708333,4500,4500,0,2700,1800,,400,18000,5.3055,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"网下询价,上网定价",余额包销,国金证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,上海市通力律师事务所,2018-12-05,2018-12-06,2018-12-06,,,,1,上海,汽车制造业,制造业-机械、设备、仪表,可选消费--汽车与汽车零部件--汽车--汽车制造,A股,上海
300753.SZ,300753,爱朋医疗,300753,2018-11-26,2018-12-04,,创业板,15.8,22.99,34.85,34.74826087,26.77304348,2020,2020,0,1300,720,,500,7000,3.1916,3.1916,2.62930024,5622.9976,17.61811505,0,0,5622.9976,17.61811505,3500,1378.87,200,500,3301,4975,2475790,1904.453846,4967,4967,,,,,,,,,,"网下询价,上网定价",余额包销,广发证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京德恒律师事务所,2018-12-03,2018-12-04,2018-12-04,,,,1,江苏省,专用设备制造业,制造业-机械、设备、仪表,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,深圳
601860.SH,601860,紫金银行,780860,2018-11-19,2018-12-18,,主板,3.14,10.85,6.86,6.87173913,6.550434783,36608.8889,36608.8889,0,25626.2889,10982.6,,2600,109000,11.49519111,11.49519111,11.22315473,2720.363817,2.366523349,0,0,2720.363817,2.366523349,1612.572411,243.396226,180.188679,518.867925,2105,3971,10302060,402.0113892,3853,3853,,,,,,,,,,"网下询价,上网定价",余额包销,中信建投证券股份有限公司,江苏苏亚金诚会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,世纪同仁律师事务所,2018-12-17,2018-12-18,2018-12-18,,,,1,江苏省,货币金融服务,金融、保险业-银行业-其他商业银行,金融--银行--商业银行--区域性银行,A股,上海
300752.SZ,300752,隆利科技,300752,2018-11-19,2018-11-21,2018-11-30,创业板,20.87,15.94,25.82,26.18818182,24.84863636,1816.53,1816.53,0,,1816.5,0,,18000,3.79109811,3.79109811,3.5,2910.9811,7.678464169,0,0,2910.9811,7.678464169,1886.792453,391.50943,185.849057,408.490566,,,,,,,,,,,,11065473,9862804.55,0.01841768,5429.5649,上网定价,余额包销,国海证券股份有限公司,瑞华会计师事务所(特殊普通合伙),国众联资产评估土地房地产估价有限公司,上海市君悦律师事务所,2018-11-20,,,20583.6731,,6.5967,1,广东省,计算机、通信和其他电子设备制造业,信息技术业-计算机及相关设备制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳
603187.SH,603187,海容冷链,732187,2018-11-15,2018-11-19,2018-11-29,主板,32.25,22.99,25.3,25.60272727,22.805,2000,2000,0,,2000,0,,20000,6.45,6.45,5.867025,5829.75,9.038372093,0,0,5829.75,9.038372093,4895.28,264.15,254.72,396.23,,,,,,,,,,,,11552218,9910979.6,0.02017964,4955.4898,上网定价,余额包销,国金证券股份有限公司,信永中和会计师事务所(特殊普通合伙),北京中天华资产评估有限责任公司,北京市君泽君律师事务所,2018-11-16,,,31962.90921,,10.1345,1,山东省,通用设备制造业,制造业-机械、设备、仪表-专用设备制造业-其他专用设备制造业,工业--资本货物--机械--工业机械,A股,上海
002943.SZ,002943,宇晶股份,002943,2018-11-12,2018-11-20,2018-11-29,中小企业板,17.61,22.99,25.3,25.21954545,22.55090909,2500,2500,0,250,2250,50,500,10000,4.4025,4.4025,3.982756,4197.44,9.534219194,0,0,4197.44,9.534219194,2907.31,564.15,179.25,481.13,2719,4062,2026160,8104.64,4057,4057,3969,1979850,3486.51585,0.01262722,7919.4,12605794,7763264.95,0.02898265,3450.34,"网下询价,上网定价",余额包销,海通证券股份有限公司,中审众环会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,上海锦天城律师事务所,2018-11-19,2018-11-20,2018-11-20,13671.10958,,5.9338,1,湖南省,通用设备制造业,制造业-机械、设备、仪表-专用设备制造业-其他专用设备制造业,工业--资本货物--机械--工业机械,A股,深圳
601319.SH,601319,中国人保,780319,2018-10-29,2018-11-06,2018-11-16,主板,3.34,8.87,16.04,16.04333333,14.11055556,180000,180000,0,88988.4,91011.6,60,8000,303000,60.12,60.12,58.4785,16415,2.730372588,0,0,16415,2.730372588,11400,3340,701,468,2102,4332,31314410,3096.634825,3927,3927,3915,28081750,9379.3045,0.03601058,2776.9619,11596035,20736345.5,0.43889894,227.8429,"战略配售,网下询价,上网定价",余额包销,"中国国际金融股份有限公司,安信证券股份有限公司,中信证券股份有限公司,高盛高华证券有限责任公司",德勤华永会计师事务所(特殊普通合伙),,北京市金杜律师事务所,2018-11-05,2018-11-06,2018-11-06,6925.939397,,213.5481,1,北京,保险业,金融、保险业-保险业,金融--保险Ⅱ--保险Ⅲ--多元化保险,A股,上海
603220.SH,603220,贝通信,732220,2018-10-29,2018-11-06,2018-11-15,主板,7.85,22.97,37.01,37.01117647,35.67411765,8444,8444,0,844.4,7599.6,50,700,33000,6.62854,6.62854,6.108653,5198.87,7.843160032,0,0,5198.87,7.843160032,3752,556.6,429.25,424.53,2155,4079,2853550,3379.38181,4077,4077,4065,2843750,2232.34375,0.02969319,3367.7759,11576550,12189445.6,0.06234574,1603.9588,"网下询价,上网定价",余额包销,招商证券股份有限公司,天健会计师事务所(特殊普通合伙),银信资产评估有限公司,北京国枫律师事务所,2018-11-05,2018-11-06,2018-11-06,9568.714796,,22.1752,1,湖北省,软件和信息技术服务业,信息技术业-通信服务业,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,上海
300751.SZ,300751,迈为股份,300751,2018-10-29,2018-10-31,2018-11-09,创业板,56.68,22.99,32.95,32.56352941,26.52411765,1300,1300,0,,1300,0,,13000,7.3684,7.3684,6.6118,7566,10.26817219,0,0,7566,10.26817219,6514.38,285.64,245.28,460.58,,,,,,,,,,,,10628044,8015796.35,0.01621798,6165.9972,上网定价,余额包销,东吴证券股份有限公司,江苏苏亚金诚会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,国浩律师(集团)事务所有限公司,2018-10-30,,,45433.53371,,3.4685,1,江苏省,专用设备制造业,制造业-机械、设备、仪表,工业--资本货物--机械--工业机械,A股,深圳
