dm,gpdm,gpmc,fxdm,fxrq,dzgfssr,fxfs,fxjg,zfrspj,zxspj,zfxjzdf,zfsl_w,yjmjzjze_y,sjmzze_y,qz_zcmjje_y,qz_hbmjje_y,fxfy_y,sjmzje_y,fxdx,rgfs,zflx,zfmd,fxzjl,ssjgxdjzjgbl,yajgxdjzjgbl,sfkggdrg,dgdrgbl,dgdrgfs,djjzrlx,djfs,csyaggr,djjzr,gddhggr,fswshggr,zjhshggr,ssggr,xsjjr,zcxs,cwgw,zjhhy,windhy,zqlx,gslx
600121.SH,600121,郑州煤电,,2013-11-20,2013-11-29,定向,8.67,5.84,3.19,-63.20645905,6920.4152,10.12,5.999999978,,5.999999978,0.362,5.637999978,机构投资者,现金,原有A股增发A股,配套融资,-43.54,90,90,否,,,董事会决议公告日,竞价,2012-1-13,2012-5-11,2012-5-29,2012-10-19,2012-11-26,2013-12-3,2014-12-1,中原证券股份有限公司,,煤炭开采和洗选业,Wind能源Ⅱ,A股,地方国有企业
002087.SZ,002087,新野纺织,,2010-5-17,2010-5-31,定向,5.49,6.23,3.8,32.47908622,9000,,4.941,,4.941,0.202525,4.738475,"机构投资者,境内自然人",,原有A股增发A股,项目融资,12.58,108.1182,90,否,,,董事会决议公告日,竞价,2009-9-8,2009-9-8,2009-9-24,2010-3-25,2010-4-30,2010-5-28,2011-5-31,中原证券股份有限公司,,纺织业,Wind耐用消费品与服装,A股,地方国有企业
002770.SZ,002770,科迪乳业,,2016-11-25,2016-12-28,定向,13.2,12.29,3.04,-55.91572491,2944.6209,3.8869,3.886899588,,3.886899588,0.097557912,3.789341676,机构投资者,现金,原有A股增发A股,项目融资,-15.38,106.36,90,否,,,发行期首日,竞价,2016-1-14,2016-11-25,2016-4-12,2016-7-28,2016-11-12,2016-12-27,2017-12-28,中原证券股份有限公司,,食品制造业,Wind食品、饮料与烟草,A股,民营企业
000544.SZ,000544,中原环保,,2016-8-10,2016-9-26,定向,14.59,15.87,5.31,-43.89786623,7830.7057,11.425,11.42499962,,11.42499962,0.51,10.91499962,机构投资者,现金,原有A股增发A股,配套融资,10.1,122.7196,90,否,,,董事会决议公告日,竞价,2015-2-13,2015-2-12,2015-9-29,2016-3-10,2016-4-7,2016-9-23,2017-9-29,中原证券股份有限公司,,水的生产和供应业,Wind公用事业Ⅱ,A股,地方国有企业
600285.SH,600285,羚锐制药,,2013-1-10,2013-1-21,定向,7.67,10.88,8.19,155.9484183,2833.7939,3.861999902,2.173519921,,2.173519921,0.091783379,2.081736542,"大股东,机构投资者",现金,原有A股增发A股,项目融资,35.49,90,90,是,57.0776,现金,董事会决议公告日,定价,2012-2-29,2012-2-29,2012-3-30,2012-9-11,2012-11-2,2013-1-23,2016-1-21,中原证券股份有限公司,,医药制造业,Wind制药、生物科技与生命科学,A股,民营企业
600285.SH,600285,羚锐制药,,2016-4-27,2016-5-5,定向,8.35,10.16,8.19,2.269368623,5688.6224,5,4.749999704,,4.749999704,0.085002825,4.664996879,"大股东,机构投资者,境内自然人",现金,原有A股增发A股,项目融资,23.6,90,90,是,73.6842,现金,董事会决议公告日,定价,2015-4-24,2015-4-24,2016-4-20,2015-12-10,2016-1-11,2016-5-9,2019-5-6,中原证券股份有限公司,,医药制造业,Wind制药、生物科技与生命科学,A股,民营企业
300437.SZ,300437,清水源,,2016-8-26,2016-9-21,定向,23.4,26.08,12.76,-44.85473632,1756.1965,4.1095,4.10949981,,4.10949981,0.128837425,3.980662385,机构投资者,现金,原有A股增发A股,配套融资,22.05,90,90,否,,,发行期首日,竞价,2016-4-8,2016-8-26,2016-4-27,2016-5-19,2016-7-8,2016-9-14,2017-9-22,中原证券股份有限公司,,化学原料及化学制品制造业,Wind材料Ⅱ,A股,民营企业
300481.SZ,300481,濮阳惠成,,2018-1-19,2018-2-8,定向,20.09,22.56,12.17,-7.687712913,1000,2.039817,2.009,,2.009,0.072509434,1.936490566,机构投资者,现金,原有A股增发A股,项目融资,-17.42,90,90,否,,,发行期首日,竞价,2016-9-29,2018-1-16,2017-9-15,2017-6-29,2017-9-15,2018-2-3,2019-2-7,中原证券股份有限公司,,化学原料及化学制品制造业,Wind材料Ⅱ,A股,民营企业
600439.SH,600439,瑞贝卡,,2010-11-29,2010-12-3,定向,12.2,13.78,2.99,-61.18921412,4631,,5.64982,,5.64982,0.1241,5.52572,机构投资者,,原有A股增发A股,项目融资,10.1,125.3425,90,否,,,董事会决议公告日,竞价,2010-2-25,2010-2-25,2010-3-18,2010-9-2,2010-10-13,2010-12-7,2011-12-5,中原证券股份有限公司,,皮革、毛皮、羽毛及其制品和制鞋业,Wind家庭与个人用品,A股,民营企业
002560.SZ,002560,通达股份,,2014-1-17,2014-2-18,定向,12.6,17.51,4.82,17.54738623,3647.0317,4.59526,4.595259942,,4.595259942,0.1746465,4.420613442,"大股东,机构投资者,境内自然人",现金,原有A股增发A股,项目融资,28,98.7805,90,是,13.7098,现金,董事会决议公告日,竞价,2013-1-16,2013-8-20,2013-9-5,2013-12-10,2014-1-8,2014-2-13,2015-2-25,中原证券股份有限公司,,电气机械及器材制造业,Wind资本货物,A股,民营企业
002536.SZ,002536,西泵股份,,2015-5-12,2015-6-3,定向,36.02,40.43,10.98,-4.692377765,1526.9292,5.5,5.499998978,,5.499998978,0.155652693,5.344346286,"大股东,机构投资者",现金,原有A股增发A股,项目融资,22.34,162.4962,90,是,10,现金,董事会决议公告日,竞价,2014-9-3,2014-9-3,2014-9-20,2015-3-30,2015-4-30,2015-6-1,2016-6-3,中原证券股份有限公司,,汽车制造业,Wind汽车与汽车零部件,A股,民营企业
600439.SH,600439,瑞贝卡,,2006-11-15,2006-12-6,定向,9.9,13.44,2.99,90.289622,3525,,3.48975,,3.48975,0.0814,3.40835,"机构投资者,境外机构投资者",,原有A股增发A股,项目融资,28.83,107.14,90,否,,,董事会决议公告日,竞价,2006-6-7,,2006-6-23,,2006-11-10,2006-12-8,2007-12-6,中原证券股份有限公司,,皮革、毛皮、羽毛及其制品和制鞋业,Wind家庭与个人用品,A股,民营企业
000933.SZ,000933,神火股份,,2012-7-2,2012-7-31,定向,8.24,9.18,4.32,-46.78866611,22050,18.907965,18.1692,,18.1692,0.197558292,17.97164171,"大股东,机构投资者",现金,原有A股增发A股,项目融资,9.95,90,90,是,26.8934,现金,董事会决议公告日,竞价,2012-1-12,2012-1-12,2012-2-4,2012-5-4,2012-6-1,2012-7-30,2013-8-9,中原证券股份有限公司,,有色金属冶炼及压延加工,Wind材料Ⅱ,A股,地方国有企业
002407.SZ,002407,多氟多,,2015-10-16,2015-11-12,定向,29.88,40.86,12.42,7.767516369,2012.2155,6.0125,6.012499914,,6.012499914,0.10870122,5.903798694,机构投资者,现金,原有A股增发A股,项目融资,41.33,92.6991,90,否,,,董事会决议公告日,竞价,2015-1-27,2015-5-21,2015-6-6,2015-7-2,2015-8-5,2015-11-11,2016-11-14,中原证券股份有限公司,,化学原料及化学制品制造业,Wind材料Ⅱ,A股,民营企业
